This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day7 post-infection vs control Lung tissue experiments from ten independent studies (GSE40824, GSE40827, GSE49262, GSE49263, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE68820) and two strains (SARS-CoV MA15, icSARS-CoV). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.



The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day7 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."				
				
Gene	Specificity	Abs Score Sum	Score Sum	Score Ave
Wscd1	9 out of 11	350.9357461	-350.9357461	-31.90324965
Aox1	10 out of 11	349.9965064	-349.9965064	-31.81786422
Ak7	10 out of 11	349.9813142	-349.9813142	-31.81648311
Sepp1	10 out of 11	349.3985324	-349.3985324	-31.76350295
Ppm1a	10 out of 11	349.3249447	-349.3249447	-31.75681315
Slc12a5	9 out of 11	349.3095158	-349.3095158	-31.75541052
Rnf186	10 out of 11	349.1777301	-349.1777301	-31.74343001
A_52_P158095	8 out of 11	348.5846753	-348.5846753	-31.68951593
Inadl	10 out of 11	348.1934563	-348.1934563	-31.65395057
Hrasls	10 out of 11	348.1061113	-348.1061113	-31.64601012
Ces1d	10 out of 11	347.8392398	-347.8392398	-31.62174907
Sox18	8 out of 11	346.8957763	-346.8957763	-31.53597967
Spnb2	10 out of 11	346.4035472	-346.4035472	-31.49123157
Txnrd3	10 out of 11	346.3893901	-346.3893901	-31.48994455
Fmo2	9 out of 11	345.6522576	-345.6522576	-31.42293251
Rtkn2	10 out of 11	344.7615372	-344.7615372	-31.34195793
Mug2	9 out of 11	344.4248781	-344.4248781	-31.31135256
Ank3	10 out of 11	344.2573533	-344.2573533	-31.29612303
Kank3	10 out of 11	343.837725	-343.837725	-31.257975
Por	10 out of 11	343.1272093	-343.1272093	-31.19338267
D4Bwg0951e	10 out of 11	342.3785557	-342.3785557	-31.12532325
Bambi	10 out of 11	342.2852059	-342.2852059	-31.1168369
Tox3	10 out of 11	342.2545738	-342.2545738	-31.11405216
Fhdc1	10 out of 11	342.0742738	-342.0742738	-31.09766125
Ncald	11 out of 11	341.17553	-341.17553	-31.01595728
Dusp26	9 out of 11	341.0900047	-341.0900047	-31.00818224
Faim3	7 out of 11	340.8463155	-340.8463155	-30.98602868
Fam178b	10 out of 11	340.256173	-340.256173	-30.93237936
E030046B03Rik	10 out of 11	340.1137945	-340.1137945	-30.91943586
Dll4	10 out of 11	340.0834303	-340.0834303	-30.91667548
Ldhb	10 out of 11	339.9270641	-339.9270641	-30.90246038
Tbx3	10 out of 11	339.2278953	-339.2278953	-30.83889957
Ndrg2	10 out of 11	339.1652752	-339.1652752	-30.83320684
Fabp12	8 out of 11	339.0600298	-339.0600298	-30.82363908
Mm.380917	9 out of 11	338.9708238	-338.9708238	-30.81552944
Sgip1	10 out of 11	338.4231369	-338.4231369	-30.76573972
