"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 13 Biosets for SARS day1 post-infection vs control Lung tissue experiments from six independent studies (GSE19137, GSE23955 , GSE36969,  GSE49262, GSE49263, GSE50000) and five strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV MA15, SARS-CoV MA15g, SARS-CoV MA15e, SARS-CoV TOR2, SARS-CoV Urbani). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata.   "		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day1 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option."		
		
Gene	Specificity	Score Ave
Tek	7 out of 13	-18.62774961
Ero1lb	5 out of 13	-18.61646318
Tm7sf2	8 out of 13	-18.58160247
AU021092	7 out of 13	-18.57272234
Mxd4	8 out of 13	-18.52949471
Mrgprf	6 out of 13	-18.52114055
Ppm1a	7 out of 13	-18.51030827
Hist2h2be	7 out of 13	-18.46726652
Lefty1	6 out of 13	-18.4579561
Shisa2	7 out of 13	-18.43208476
3110062M04Rik	9 out of 13	-18.42821165
Idh3g	9 out of 13	-18.41772625
Cox16	9 out of 13	-18.41349526
Ivd	7 out of 13	-18.39189969
Lbh	5 out of 13	-18.37431888
Atp13a4	5 out of 13	-18.37329834
Lss	7 out of 13	-18.34224379
Fcgrt	7 out of 13	-18.33837213
Slc7a10	5 out of 13	-18.32500143
Epha1	5 out of 13	-18.31949715
Rmnd5a	7 out of 13	-18.27827365
Adi1	7 out of 13	-18.27482157
Abcd3	6 out of 13	-18.26324227
Glt25d2	9 out of 13	-18.24947068
Gpx8	7 out of 13	-18.24122332
Sdc2	9 out of 13	-18.20518194
Il17re	6 out of 13	-18.19352021
LOC699494	4 out of 13	-18.1847125
Tns1	8 out of 13	-18.17556511
Hist1h1c	8 out of 13	-18.17188865
Fam176b	8 out of 13	-18.11782077
Tmem204	8 out of 13	-18.08347659
Ing2	8 out of 13	-18.08121901
Syngr1	5 out of 13	-18.08031736
Camkk1	6 out of 13	-18.07636872
Slc25a35	6 out of 13	-18.05693053
Plekhb1	7 out of 13	-18.03758401
Cys1	5 out of 13	-18.03430087
Sytl2	7 out of 13	-18.03372673
Hdac5	7 out of 13	-18.01871804
Zfp955a	7 out of 13	-18.01731276
Zfp101	7 out of 13	-17.99411042
Tmem64	7 out of 13	-17.99199884
Etv5	8 out of 13	-17.97061957
D0H4S114	6 out of 13	-17.96839669
Bnipl	5 out of 13	-17.95606092
1190003J15Rik	6 out of 13	-17.93761965
Hoxa4	7 out of 13	-17.93482452
Tlr8	6 out of 13	-17.89928478
Dram1	9 out of 13	-17.88032412
Pank1	6 out of 13	-17.86203036
Cd59a	7 out of 13	-17.84937056
Wdfy3	9 out of 13	-17.84406511
Snx33	7 out of 13	-17.84299549
Grhpr	7 out of 13	-17.83826351
Etv1	6 out of 13	-17.83565574
Angptl2	6 out of 13	-17.78548454
Hdhd3	5 out of 13	-17.78411362
Acaa2	5 out of 13	-17.77750582
Rgs11	7 out of 13	-17.77316649
Ramp1	7 out of 13	-17.76658625
Kdm1b	8 out of 13	-17.74346733
Adc	7 out of 13	-17.74214865
Cbx8	5 out of 13	-17.73811132
Scube2	5 out of 13	-17.70508713
D730039F16Rik	5 out of 13	-17.67180003
Chst12	7 out of 13	-17.65913808
Prrc1	7 out of 13	-17.65569219
Cdon	8 out of 13	-17.64690608
Gdf1	6 out of 13	-17.63769183
Acpl2	6 out of 13	-17.63136235
Slc15a2	6 out of 13	-17.62795825
Nr2f2	6 out of 13	-17.62240521
Gamt	7 out of 13	-17.60121928
2410066E13Rik	5 out of 13	-17.55498789
Bnip3l	7 out of 13	-17.49960601
Anp32a	7 out of 13	-17.49939451
Smarca2	6 out of 13	-17.49271414
Entpd8	6 out of 13	-17.48835371
Dgkg	6 out of 13	-17.47888235
BC031353	9 out of 13	-17.46768937
Pdpr	9 out of 13	-17.45565763
Ppp2r2b	6 out of 13	-17.44417118
Pkd1	8 out of 13	-17.4225613
Marveld1	5 out of 13	-17.39417656
BC013561	6 out of 13	-17.36757678
Myb	6 out of 13	-17.35780745
Kif1b	7 out of 13	-17.35358903
Plk5	5 out of 13	-17.34225125
Ccdc28a	6 out of 13	-17.31356774
Copz2	7 out of 13	-17.29362038
Gm11545	6 out of 13	-17.28026421
Arrb1	7 out of 13	-17.26902913
Nox4	6 out of 13	-17.26660442
Ipmk	6 out of 13	-17.24271578
Vpreb3	5 out of 13	-17.23312713
CHAC1	5 out of 13	-17.22637362
Rab42	6 out of 13	-17.21207626
Trpm4	7 out of 13	-17.20482899
Snca	4 out of 13	-17.15651343
Hsd17b4	8 out of 13	-17.14331065
G0s2	5 out of 13	-17.14126213
MYCN	6 out of 13	-17.13005326
Gm12824	6 out of 13	-17.12972877
Slco4c1	5 out of 13	-17.11459513
Mfap5	4 out of 13	-17.09643956
Plekhg5	6 out of 13	-17.09279959
Zbtb44	6 out of 13	-17.09217712
Nrp1	9 out of 13	-17.08935329
Ptpdc1	6 out of 13	-17.07217125
Cyp2c44	6 out of 13	-17.06888775
Kcnk2	7 out of 13	-17.05321465
C15H9orf72	4 out of 13	-17.04151016
Pitpnm3	5 out of 13	-17.03394485
Arhgef25	6 out of 13	-17.02902103
Tmem57	6 out of 13	-17.01523483
Derl3	6 out of 13	-17.0137713
Nit1	7 out of 13	-17.01270399
Col6a3	6 out of 13	-17.00944603
Sfxn4	7 out of 13	-16.99883074
Polg2	7 out of 13	-16.99580776
ENSMUSG00000034890	7 out of 13	-16.9788434
Hsd11b1	6 out of 13	-16.97010729
Cthrc1	5 out of 13	-16.91443854
Gstp1	6 out of 13	-16.90995991
Nkx2-1	5 out of 13	-16.90706363
Crb2	6 out of 13	-16.90084862
Cd163	4 out of 13	-16.87636572
Hspa12b	7 out of 13	-16.85484638
2610203C22Rik	7 out of 13	-16.82690485
Ang3	7 out of 13	-16.81276488
Evpl	6 out of 13	-16.76868136
Col1a1	7 out of 13	-16.7577566
Ahsp	4 out of 13	-16.75691799
Fmo5	8 out of 13	-16.75353861
Vegfb	6 out of 13	-16.73597409
Paqr7	7 out of 13	-16.73517245
Adamts10	7 out of 13	-16.69140775
TMEM8A	7 out of 13	-16.67708895
Cd99l2	8 out of 13	-16.67410956
Ssna1	7 out of 13	-16.65256577
A_52_P390448	6 out of 13	-16.64057084
Itm2a	7 out of 13	-16.63732212
Hes2	4 out of 13	-16.63433369
Ttc3	7 out of 13	-16.63043863
Dnahc5	6 out of 13	-16.61860535
Gin1	7 out of 13	-16.61122423
LOC693992	5 out of 13	-16.57286103
1810020D17Rik	7 out of 13	-16.57109787
Med25	8 out of 13	-16.55636895
