"This RNA Expression meta-signature was derived from Illumina's BaseSpace Correlation Engine Meta-Analysis app. The analysis aggregated 15 Biosets for SARS day4 post-infection vs control Lung tissue experiments from twelve independent studies (GSE23955, GSE36969, GSE40824, GSE40827, GSE49262, GSE50000, GSE50878, GSE51386, GSE51387, GSE64660, GSE64661, GSE68820) and four strains (SARS-CoV GZ02, SARS-CoV HC-SZ-6103, SARS-CoV Urbani, SARS-CoV MA15). For more go to https://github.com/BioinfoSolutions/Coronavirus_metadata."		
"The export table from the Meta-Analysis was transformed in the following ways to define this SARS-CoV day4 post-infection lung meta-signature. The bioset-specific gene scores were modified with fold change directionality, then the signed bioset-specific gene scores were averaged for each gene across all biosets for a signed overall score. The genes and scores were then imported using the Fold Change (+/- mode) option to use the directional values and rank."		
		
Gene	Specificity	Score Ave
Chaf1b	10 out of 15	39.68716688
Ddx58	11 out of 15	39.68027386
Pole2	11 out of 15	39.64716454
A_52_P25932	9 out of 15	39.63480114
Apobec1	9 out of 15	39.62508342
Lpxn	11 out of 15	39.59118128
Dmbt1	8 out of 15	39.56254717
Gbp6	8 out of 15	39.55440414
Rad54b	10 out of 15	39.54010287
Bst2	9 out of 15	39.3844437
Kif14	10 out of 15	39.32810651
Tacc3	9 out of 15	39.30934283
Calca	9 out of 15	39.28212804
Fcgr3	12 out of 15	39.23110408
Ccl3	10 out of 15	39.10693397
Clspn	9 out of 15	39.04831216
Mcm3	12 out of 15	38.9803137
Dhfr	11 out of 15	38.81494748
Pla2g7	9 out of 15	38.79351379
Gpnmb	9 out of 15	38.7750437
Cdc45	10 out of 15	38.74238308
Slc15a3	10 out of 15	38.72999883
Bcl2l15	10 out of 15	38.72755103
Adar	11 out of 15	38.69841272
Hist1h1b	11 out of 15	38.65226661
C330027C09Rik	11 out of 15	38.58294402
Clec4a3	10 out of 15	38.57321442
Hist1h2ai	9 out of 15	38.48837246
Nrg1	12 out of 15	38.43329057
Arg1	7 out of 15	38.43266145
H2-T10	10 out of 15	38.40339199
Gm4955	9 out of 15	38.40172132
Epsti1	11 out of 15	38.39094845
Gm14446	9 out of 15	38.20147911
Fcgr2b	9 out of 15	38.17573561
Cd177	9 out of 15	38.10718079
EGR2	11 out of 15	38.08658196
Apoc2	8 out of 15	38.07909199
Kif4	10 out of 15	38.00075595
Ms4a6b	12 out of 15	37.95986652
Cxcl16	10 out of 15	37.95908642
Traip	9 out of 15	37.92917696
Hist1h2ak	9 out of 15	37.79365787
Foxm1	8 out of 15	37.72494894
Cdt1	13 out of 15	37.69223321
Mb21d1	11 out of 15	37.60988477
Psapl1	9 out of 15	37.60426384
Mis18bp1	10 out of 15	37.58513189
Anln	13 out of 15	37.4199622
Prm1	10 out of 15	37.40969227
H2-K1	11 out of 15	37.36225699
Slfn2	9 out of 15	37.35489892
Wfdc18	9 out of 15	37.32733912
Fn1	10 out of 15	37.3213387
Tcf19	10 out of 15	37.28097901
Sema7a	9 out of 15	37.27245626
A_52_P465129	10 out of 15	37.18177305
Cxcl12	10 out of 15	37.17405575
Oas1b	9 out of 15	37.0107326
Cdc6	11 out of 15	36.92635609
N4bp1	14 out of 15	36.84348495
MMP19	9 out of 15	36.78919404
Mms22l	10 out of 15	36.78360202
Clec4e	9 out of 15	36.75069765
Tubb5	12 out of 15	36.72392896
Gtse1	11 out of 15	36.71546419
Lama1	9 out of 15	36.68450278
Pkn3	10 out of 15	36.6623422
Parp9	11 out of 15	36.65985056
Kng1	9 out of 15	36.60880217
Fcer1g	12 out of 15	36.58617292
Tor1aip2	12 out of 15	36.56814201
Smpd3	10 out of 15	36.53618788
Lst1	11 out of 15	36.52220624
Cenpi	9 out of 15	36.48822841
Hpx	10 out of 15	36.46729436
Esco2	12 out of 15	36.44829333
Parp12	13 out of 15	36.42420516
Klhdc8a	10 out of 15	36.39319545
Mmp14	12 out of 15	36.33827074
Eln	9 out of 15	36.33590494
Ska3	11 out of 15	36.31043729
H2-Q10	10 out of 15	36.29897475
Smc2	13 out of 15	36.22650796
Umps	13 out of 15	36.13387629
BC023105	9 out of 15	36.12366786
Mitd1	11 out of 15	36.05628361
Kif11	8 out of 15	36.03484016
